place_id,user_ratings_total,rating
ChIJfZVjYSMPZ0gRlz9bNebwzsY,1081,4
ChIJcRZTRaMPZ0gReVX6xr51SQM,2439,4
ChIJaXKG84QOZ0gRseLQ4N5z0Kw,4462,3.5
ChIJNRjFeGwPZ0gRe6PJvNxDG88,157,4.6
ChIJ-V9iUYQOZ0gRD69tNxePlRI,2971,4.3
ChIJrXv99YQOZ0gRZbnyKrQnS80,4725,3.9
ChIJx8KiSgAPZ0gRGRXp2sUay_0,561,4.6
ChIJUyjpA5wOZ0gR3i_mXN2DRWw,1825,3.8
ChIJccnvWgAPZ0gR7fh8aJefUbg,29,4.8
ChIJ3f1_z4QOZ0gRHYSUg52nrGM,730,3.4
ChIJwUmurTkPZ0gRep1czgc57Nk,3262,4.5
ChIJ4dy5LYkPZ0gRE8625jTjHb0,2675,4.7
ChIJmTkfZWYMZ0gRRgM9A1Gupi4,101,4.1
ChIJQa0KpZ0OZ0gR6Z9PO8_vFr4,3017,4.2
ChIJvbquWZ0OZ0gRCtNt_XAUfxk,4846,4.4
ChIJRTws9-UPZ0gRu40GRWD4Xqk,516,4.4
ChIJi4K3_kANZ0gREEPb0Qhwfd4,266,4.3
ChIJqSpqySkPZ0gRW6jXEOEb4rc,737,4.3
ChIJs2dICSoMZ0gRCzVhHbrcffE,1483,4.6
ChIJjdAJLIMOZ0gR1o-iFkGhY60,5427,4.6
ChIJ1eUuDScPZ0gRLDQShOkN3WQ,512,4.3
ChIJRTOcRJ0OZ0gRpm_Z-Y8T35I,1199,3.6
ChIJXaQqXgAPZ0gRSXm6YAlh4T0,67,4.5
ChIJtWk8QoIOZ0gR1pG3pq-s9W8,2903,4.3
ChIJ1QjKWIwPZ0gRot5bfvF-pEM,115,4.5
ChIJ_YUOwlMPZ0gRM1e1Mwd07As,379,4.6
ChIJWQ7pOCAPZ0gR88QywRYIpGc,1288,4.8
ChIJpTRnMQAPZ0gRrG4zyNtu7oM,119,3.7
ChIJLfhfxoQOZ0gRHawcQS3Vz7g,2065,3.4
ChIJK9sQpKcPZ0gRfJOFxAWDu6Q,721,4.8
